2024-10-16 16:15:35,453 INFO    MainThread:2359 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-10-16 16:15:35,454 INFO    MainThread:2359 [wandb_setup.py:_flush():79] Configure stats pid to 2359
2024-10-16 16:15:35,454 INFO    MainThread:2359 [wandb_setup.py:_flush():79] Loading settings from /Users/leare/.config/wandb/settings
2024-10-16 16:15:35,454 INFO    MainThread:2359 [wandb_setup.py:_flush():79] Loading settings from /Users/leare/mlx/HackerNews/wandb/settings
2024-10-16 16:15:35,454 INFO    MainThread:2359 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-10-16 16:15:35,454 INFO    MainThread:2359 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-16 16:15:35,454 INFO    MainThread:2359 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'resource/example.py', 'program_abspath': '/Users/leare/mlx/HackerNews/resource/example.py', 'program': '/Users/leare/mlx/HackerNews/resource/example.py'}
2024-10-16 16:15:35,454 INFO    MainThread:2359 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-16 16:15:35,454 INFO    MainThread:2359 [wandb_init.py:_log_setup():532] Logging user logs to /Users/leare/mlx/HackerNews/wandb/run-20241016_161535-35aoax4o/logs/debug.log
2024-10-16 16:15:35,454 INFO    MainThread:2359 [wandb_init.py:_log_setup():533] Logging internal logs to /Users/leare/mlx/HackerNews/wandb/run-20241016_161535-35aoax4o/logs/debug-internal.log
2024-10-16 16:15:35,454 INFO    MainThread:2359 [wandb_init.py:init():617] calling init triggers
2024-10-16 16:15:35,454 INFO    MainThread:2359 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {}
2024-10-16 16:15:35,454 INFO    MainThread:2359 [wandb_init.py:init():667] starting backend
2024-10-16 16:15:35,454 INFO    MainThread:2359 [wandb_init.py:init():671] sending inform_init request
2024-10-16 16:15:35,455 INFO    MainThread:2359 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-10-16 16:15:35,456 INFO    MainThread:2359 [wandb_init.py:init():684] backend started and connected
2024-10-16 16:15:35,459 INFO    MainThread:2359 [wandb_init.py:init():779] updated telemetry
2024-10-16 16:15:35,480 INFO    MainThread:2359 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2024-10-16 16:15:35,711 INFO    MainThread:2359 [wandb_init.py:init():863] starting run threads in backend
2024-10-16 16:15:35,807 INFO    MainThread:2359 [wandb_run.py:_console_start():2465] atexit reg
2024-10-16 16:15:35,807 INFO    MainThread:2359 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2024-10-16 16:15:35,807 INFO    MainThread:2359 [wandb_run.py:_redirect():2378] Wrapping output streams.
2024-10-16 16:15:35,807 INFO    MainThread:2359 [wandb_run.py:_redirect():2403] Redirects installed.
2024-10-16 16:15:35,809 INFO    MainThread:2359 [wandb_init.py:init():907] run started, returning control to user process
2024-10-16 16:29:09,135 INFO    MainThread:2359 [wandb_run.py:_finish():2164] finishing run learesong-machine-learning-institution/skip-gram/35aoax4o
2024-10-16 16:29:09,135 INFO    MainThread:2359 [wandb_run.py:_atexit_cleanup():2428] got exitcode: 0
2024-10-16 16:29:09,135 INFO    MainThread:2359 [wandb_run.py:_restore():2410] restore
2024-10-16 16:29:09,136 INFO    MainThread:2359 [wandb_run.py:_restore():2416] restore done
2024-10-16 16:29:14,190 INFO    MainThread:2359 [wandb_run.py:_footer_history_summary_info():4049] rendering history
2024-10-16 16:29:14,192 INFO    MainThread:2359 [wandb_run.py:_footer_history_summary_info():4081] rendering summary
2024-10-16 16:29:14,204 INFO    MainThread:2359 [wandb_run.py:_footer_sync_info():4008] logging synced files
