2024-10-17 12:44:48,945 INFO    MainThread:10585 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-10-17 12:44:48,946 INFO    MainThread:10585 [wandb_setup.py:_flush():79] Configure stats pid to 10585
2024-10-17 12:44:48,946 INFO    MainThread:10585 [wandb_setup.py:_flush():79] Loading settings from /Users/leare/.config/wandb/settings
2024-10-17 12:44:48,946 INFO    MainThread:10585 [wandb_setup.py:_flush():79] Loading settings from /Users/leare/mlx/HackerNews/wandb/settings
2024-10-17 12:44:48,946 INFO    MainThread:10585 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-10-17 12:44:48,946 INFO    MainThread:10585 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-17 12:44:48,946 INFO    MainThread:10585 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'resource/example.py', 'program_abspath': '/Users/leare/mlx/HackerNews/resource/example.py', 'program': '/Users/leare/mlx/HackerNews/resource/example.py'}
2024-10-17 12:44:48,946 INFO    MainThread:10585 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-17 12:44:48,946 INFO    MainThread:10585 [wandb_init.py:_log_setup():532] Logging user logs to /Users/leare/mlx/HackerNews/wandb/run-20241017_124448-5zu5l1p8/logs/debug.log
2024-10-17 12:44:48,946 INFO    MainThread:10585 [wandb_init.py:_log_setup():533] Logging internal logs to /Users/leare/mlx/HackerNews/wandb/run-20241017_124448-5zu5l1p8/logs/debug-internal.log
2024-10-17 12:44:48,946 INFO    MainThread:10585 [wandb_init.py:init():617] calling init triggers
2024-10-17 12:44:48,946 INFO    MainThread:10585 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {}
2024-10-17 12:44:48,946 INFO    MainThread:10585 [wandb_init.py:init():667] starting backend
2024-10-17 12:44:48,946 INFO    MainThread:10585 [wandb_init.py:init():671] sending inform_init request
2024-10-17 12:44:48,947 INFO    MainThread:10585 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-10-17 12:44:48,948 INFO    MainThread:10585 [wandb_init.py:init():684] backend started and connected
2024-10-17 12:44:48,951 INFO    MainThread:10585 [wandb_init.py:init():779] updated telemetry
2024-10-17 12:44:48,970 INFO    MainThread:10585 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2024-10-17 12:44:49,202 INFO    MainThread:10585 [wandb_init.py:init():863] starting run threads in backend
2024-10-17 12:44:49,287 INFO    MainThread:10585 [wandb_run.py:_console_start():2465] atexit reg
2024-10-17 12:44:49,288 INFO    MainThread:10585 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2024-10-17 12:44:49,288 INFO    MainThread:10585 [wandb_run.py:_redirect():2378] Wrapping output streams.
2024-10-17 12:44:49,288 INFO    MainThread:10585 [wandb_run.py:_redirect():2403] Redirects installed.
2024-10-17 12:44:49,290 INFO    MainThread:10585 [wandb_init.py:init():907] run started, returning control to user process
2024-10-17 12:45:01,243 WARNING MsgRouterThr:10585 [router.py:message_loop():77] message_loop has been closed
